,FIPS,County,State,NERC Region,Generation (kWh),Useful Thermal Output (MMBtu),Tons of CO2 Emissions,tonCO2e_PET,tonCO2e_GAS,tonCO2e_COAL,tonCO2e_other,Metric Tonnes of CO2 Emissions,Nameplate Capacity (MW),Establishments,emp,emp_new,Winsorized_MWh?,Winsorized_emp?,short_tonCO2e_peremployee,Sector Code,Winsorized_intensity?,short_tonCO2e_peremployee_LOG,population,tonCO2e_percapita,tonCO2e_percapita_log,annual_avg_emplvl,tonCO2e_perjob,tonCO2e_perjob_log
10,06079,san luis obispo,CA,WECC,988412.0,0.0,1323.845760171,0.0,1323.845760171,0.0,0.0,1200.9849951656,5.5,1.0,60.73863775078991,60.73863775078991,0,0,21.795776283339237,6,0,1.3578543861773837,282424.0,0.0046874407280224056,0.002030973318941623,119806.0,0.011049912025866818,0.0047725957318107415
11,06087,santa cruz,CA,WECC,32039000.0,77619.0,20168.1437357169,0.0,20168.1437357169,0.0,0.0,18296.4199725274,4.4,1.0,37.12432343012466,37.12432343012466,0,0,543.2595633339243,5,0,2.735806068887523,270861.0,0.07445938594229845,0.0311900040112629,106304.0,0.1897214002833092,0.0754452735897846
12,06109,tuolumne,CA,WECC,291.0,0.0,0.9677399952,0.9677399952,0.0,0.0,0.0,0.8779279644,7.5,1.0,0.026394761277170536,1.0,0,1,0.9677399952,6,0,0.29396771294198926,55620.0,1.7399136914778855e-05,7.556283415756642e-06,17703.0,5.466531069310286e-05,2.374019390895851e-05
13,08037,eagle,CO,WECC,20646000.0,356.0,21635.542908310097,0.0,21635.542908310097,0.0,0.0,19627.6357691283,9.6,1.0,15.917863438734326,15.917863438734326,0,0,1359.1989271413424,7,0,3.1336024279599637,55731.0,0.38821379319068555,0.14245635520597663,33932.0,0.6376147267567517,0.21421173519941486
14,09013,tolland,CT,NPCC,121961000.0,461479.0,89374.5305023384,0.0,89374.5305023384,0.0,0.0,81080.0421866447,25.700000000000003,1.0,8.897963746535726,8.897963746535726,0,0,10044.380158003552,5,0,4.001966376863175,149788.0,0.5966735018982722,0.20321611787883495,40956.0,2.1822084798891104,0.5027286287044913
15,12047,hamilton,FL,SERC,6762834.0,195028.0,16392.7437583877,0.0,16392.7437583877,0.0,0.0,14871.399581227999,21.0,1.0,0.37238621389073656,1.0,0,1,16392.7437583877,7,0,4.214678142584933,14004.0,1.1705758182224864,0.3365749603477522,3078.0,5.325777699281254,0.8011139258547861
16,12051,hendry,FL,SERC,926073.0,24406.0,3994.5742918565,3994.5742918565,0.0,0.0,0.0,3623.8540250898,49.0,1.0,0.04351738429658299,1.0,0,1,3994.5742918565,7,0,3.601579210147931,39619.0,0.1008247126847346,0.04171817058451671,11852.0,0.3370379929004809,0.1261437482287734
17,12123,taylor,FL,SERC,40294506.0,1845426.0,239475.2462073318,0.0,239475.2462073318,0.0,0.0,217250.5181958925,69.4,1.0,1.196494432905744,2.6861727582502257,0,0,89151.09628441252,7,1,4.950131559446868,21796.0,10.987119022175252,1.078714817534609,6417.0,37.31887894769079,1.5834127949275505
18,13021,bibb,GA,SERC,17159504.0,347765.0,34175.1696676368,0.0,34175.1696676368,0.0,0.0,31003.510539451,73.4,1.0,-1.1910704744468523,1.0,0,1,34175.1696676368,7,0,4.533723387073291,157346.0,0.21719757520138294,0.08536107852205786,82782.0,0.412833341398333,0.15009093525278647
19,13039,camden,GA,SERC,3327274.0,0.0,2495.4788676224,2495.4788676224,0.0,0.0,0.0,2263.8835776308,30.0,1.0,0.25355101701853056,2.4251268221574342,1,1,1029.0096356290262,4,0,3.0128412875022033,54768.0,0.04556454257271399,0.019350846927005415,14464.0,0.17253034206460174,0.0691240899549044
20,13059,clarke,GA,SERC,0.0,0.0,39.1934698056,39.1934698056,0.0,0.0,0.0,35.5560825597,4.6,1.0,12.423130317388729,12.423130317388729,0,0,3.154878746682764,4,0,0.6185583541333732,128671.0,0.0003046022010056656,0.00013226691169861582,70493.0,0.0005559909466982538,0.00024139669916637332
21,13099,early,GA,SERC,128787996.0,2727198.0,427021.5184161366,0.0,0.0,427021.5184161366,0.0,387391.3802196641,101.2,1.0,0.006994065479341481,4.7898627859139244,1,1,89151.09628441252,7,1,4.950131559446868,10854.0,39.342317893508074,1.6057608472590181,4203.0,101.59921922820286,2.011144055842334
22,13175,laurens,GA,SERC,118136476.0,1953853.0,256015.8877361748,0.0,0.0,0.0,256015.8877361748,232256.0897543092,82.1,1.0,1.450005747531213,86.10530320699708,1,0,2973.2882668180473,7,0,3.473383057871674,49570.0,5.164734471175606,0.7899143753053628,18692.0,13.696548669814616,1.167215357221599
23,13179,liberty,GA,SERC,5472496.0,180101.0,21040.2510080554,0.0,21040.2510080554,0.0,0.0,19087.5904999141,14.5,1.0,-0.1303775489099857,1.0,0,1,21040.2510080554,7,0,4.323071557237586,65256.0,0.3224263057505118,0.12137147965040036,19289.0,1.0907901398753381,0.32031044330641467
24,13193,macon,GA,SERC,8496204.0,103926.0,13095.9961045045,13095.9961045045,0.0,0.0,0.0,11880.6097292066,85.1,1.0,0.08695165192679358,6.192568513119533,1,1,2114.792283163184,7,0,3.3254730288149172,12082.0,1.0839261798133173,0.3188823306219408,2802.0,4.673803035155068,0.7538742552825282
25,13215,muscogee,GA,SERC,244270.0,867.0,125.0136274629,0.0,125.0136274629,0.0,0.0,113.4116188541,3.6,1.0,-1.0708417183255239,1.0,0,1,125.0136274629,5,0,2.1004175134661014,206922.0,0.0006041582212761331,0.0002623033533091628,94362.0,0.001324830201382972,0.0005749856507860593
26,13245,richmond,GA,SERC,68821663.0,1891185.0,195969.26559234998,0.0,195969.26559234998,0.0,0.0,177782.1514944667,84.7,1.0,-1.2863384012129713,2.198170003060455,0,1,89151.09628441252,7,1,4.950131559446868,206607.0,0.9485122265574254,0.2897031352556083,104762.0,1.8706140164596894,0.4579748010680908
27,13305,wayne,GA,SERC,50227719.0,1887386.0,148202.0460342714,0.0,148202.0460342714,0.0,0.0,134448.0141833179,69.5,1.0,-0.11917451864328008,1.662369305717484,0,1,89151.09628441252,7,1,4.950131559446868,30144.0,4.916469149226095,0.7720626042771342,8170.0,18.139785316312288,1.281937062152224
28,16027,canyon,ID,WECC,37075340.0,2400500.0,197409.797171235,0.0,197409.797171235,0.0,0.0,179088.993169949,8.2,1.0,4.31186501343972,4.31186501343972,0,0,45782.92607860527,7,0,4.6607130317016665,231105.0,0.8541995939994158,0.2681564816461039,71576.0,2.7580445564328127,0.5749619249125084
29,16065,madison,ID,WECC,39339000.0,229613.0,27693.8860345708,0.0,27693.8860345708,0.0,0.0,25123.728598903,5.6,1.0,0.3619567388565337,1.0,0,1,27693.8860345708,5,0,4.442399582349326,52913.0,0.5233852934925406,0.1828097586711332,15768.0,1.7563347307566466,0.44033195739130954
30,16069,nez perce,ID,WECC,67632337.0,2064694.0,179218.881135386,0.0,179218.881135386,0.0,0.0,162586.302399878,113.8,1.0,0.6544423133936084,2.0102824149647756,0,1,89151.09628441252,7,1,4.950131559446868,42090.0,4.257991949046947,0.7208199167860986,20945.0,8.556642689681834,0.9803053486120399
31,16083,twin falls,ID,WECC,52238403.0,2183385.0,247634.530023309,0.0,247634.530023309,0.0,0.0,224652.571916273,10.2,1.0,1.3144329753457276,2.777694726639119,0,0,89151.09628441252,7,1,4.950131559446868,90046.0,2.7500891769019056,0.5740415953479642,39956.0,6.197680699352012,0.8571925767451688
32,17041,douglas,IL,SERC,27576936.0,2003146.0,149896.487292086,0.0,149896.487292086,0.0,0.0,135985.201208461,6.0,1.0,0.7599690257240093,1.6813757041627588,0,1,89151.09628441252,7,1,4.950131559446868,19740.0,7.593540389670011,0.9341721224956807,7479.0,20.042316792630835,1.323093554629172
33,17091,kankakee,IL,RFC,31342000.0,2383.0,27805.2069325602,0.0,27805.2069325602,0.0,0.0,25224.7182550669,4.2,1.0,13.393304269340943,13.393304269340943,0,0,2076.0528076861524,7,0,3.3174475383238105,107502.0,0.2586482756838031,0.09990438517485938,45071.0,0.6169201245270839,0.2086885663912875
34,17111,mchenry,IL,RFC,4978400.0,0.0,5884.1229315528,0.0,5884.1229315528,0.0,0.0,5338.0413059537,6.0,1.0,65.55871705351915,65.55871705351915,0,0,89.7534789576384,6,0,1.9578632823378512,310229.0,0.01896703058564093,0.008160132322062405,97273.0,0.06049081380807418,0.025506910919773456
35,17113,mclean,IL,RFC,24000.0,0.0,36.693474818,36.693474818,0.0,0.0,0.0,33.2881019849,5.1,1.0,1.5189513895192635,1.5189513895192635,0,0,24.15710935266546,4,0,1.4006607375558855,170954.0,0.00021463946335271476,9.320673196906456e-05,82263.0,0.0004460507739566998,0.00019367419872540163
36,17177,stephenson,IL,RFC,36014000.0,466874.0,43671.1736954757,0.0,43671.1736954757,0.0,0.0,39618.2288809541,6.8,1.0,10.725199757559187,10.725199757559187,0,0,4071.828467781776,7,0,3.6098961196208474,44630.0,0.9785161034164396,0.2963395893993366,17462.0,2.500926222395814,0.5441829586530653
37,18001,adams,IN,RFC,10008000.0,467860.0,35085.8321171754,0.0,35085.8321171754,0.0,0.0,31829.6580941444,2.0,1.0,1.5261017860284662,1.5261017860284662,0,0,22990.49279568889,7,0,4.361567170133261,35809.0,0.9798048568006757,0.2966223853164488,13732.0,2.5550416630625836,0.5508446947794708
38,18063,hendricks,IN,RFC,15000.0,0.0,25.1612398752,25.1612398752,0.0,0.0,0.0,22.8261270754,4.3,1.0,8.98016063055087,8.98016063055087,0,0,2.801869689234783,4,0,0.5799972271490628,174788.0,0.00014395290223127445,6.251345170457685e-05,73739.0,0.00034122024810751434,0.00014816479389019919
39,19045,clinton,IA,MRO,713064124.0,7886233.0,1821108.9515878009,0.0,0.0,1821108.9515878009,0.0,1652099.2031096802,180.0,1.0,72.9779749230831,72.9779749230831,0,0,24954.226991187446,7,0,4.397161524535614,46460.0,39.197351519324165,1.6041974396905803,20271.0,89.83814077193038,1.9582682367238926
40,19111,lee,IA,MRO,218505000.0,3317642.0,438202.782749193,0.0,438202.782749193,0.0,0.0,397534.9566807515,84.4,1.0,3.3002726651753265,4.91528204377011,0,0,89151.09628441252,7,1,4.950131559446868,33555.0,13.059239539537863,1.1479618304480874,15308.0,28.625737049202574,1.4716691638255779
41,19135,monroe,IA,MRO,103443517.0,3939961.0,340523.081306931,0.0,340523.081306931,0.0,0.0,308920.512843084,40.0,1.0,0.3205198597972244,3.819617430396862,1,1,89151.09628441252,7,1,4.950131559446868,7577.0,44.94167629760208,1.6622068374745247,3561.0,95.62568978009857,1.9850926072277657
42,19195,worth,IA,MRO,16792000.0,312492.0,72107.7082216623,0.0,72107.7082216623,0.0,0.0,65415.6837718065,4.0,1.0,0.36002054674406453,1.0,0,1,72107.7082216623,7,0,4.857987715541108,7443.0,9.68798981884486,1.0288960314318445,2361.0,30.541172478467722,1.4988778333005668
43,20147,phillips,KS,MRO,3507520.0,211186.0,54483.4192310199,0.0,54483.4192310199,0.0,0.0,49427.0336850403,1.7,1.0,3.742291575035377,3.742291575035377,0,0,14558.838652358309,7,0,4.163156562286173,4981.0,10.938249193137905,1.0769406398995334,2345.0,23.233867475914668,1.384422728599586
44,21091,hancock,KY,SERC,22899530.0,769152.0,66087.6907385904,0.0,66087.6907385904,0.0,0.0,59954.3597374494,88.0,1.0,0.6054703371036135,1.0,0,1,66087.6907385904,7,0,4.820127148289893,9095.0,7.266376111994547,0.9173151613676312,4096.0,16.134690121726173,1.233876254687024
45,22011,beauregard,LA,SERC,101655033.0,3201652.0,264655.779825485,0.0,264655.779825485,0.0,0.0,240094.148440066,61.5,1.0,1.0172162388904118,2.968620587470648,1,0,89151.09628441252,7,1,4.950131559446868,36549.0,7.241122324153466,0.915986360482972,8359.0,31.66117715342565,1.5140318332489124
46,22045,iberia,LA,SERC,0.0,28767.0,2804.8799232399,0.0,2804.8799232399,0.0,0.0,2544.5703739816,3.0,1.0,5.1171784260005735,5.1171784260005735,0,0,548.1301783397274,7,0,2.7396753117229835,69929.0,0.04011039659139842,0.017079437458367333,26366.0,0.10638245935067511,0.04390528182685333
47,22049,jackson,LA,SERC,170876742.0,3868618.0,390790.727462091,0.0,390790.727462091,0.0,0.0,354523.022282582,66.4,1.0,0.34285772571342427,4.383465192793352,1,1,89151.09628441252,7,1,4.950131559446868,15031.0,25.998983930682655,1.431347420395987,3396.0,115.0738302302977,2.064734315624133
48,22061,lincoln,LA,SERC,46918000.0,327477.0,38543.3334854205,0.0,38543.3334854205,0.0,0.0,34966.2827591586,7.5,1.0,2.9582853694184497,2.9582853694184497,0,0,13028.943686050643,5,0,4.114942538744795,48396.0,0.7964156848793392,0.2544068383227682,19269.0,2.000276790981395,0.47716132246991233
49,22069,natchitoches,LA,MRO,64334518.0,1297097.0,122747.060782483,0.0,122747.060782483,0.0,0.0,111355.403050425,78.8,1.0,1.7248215618335494,1.7248215618335494,0,0,71165.07788318596,7,0,4.852273031576165,37515.0,3.271946175729255,0.6306257721733473,13297.0,9.23118453654832,1.009925917964883
50,22087,st bernard,LA,SERC,43449210.0,1506856.0,129454.79946558,0.0,129454.79946558,0.0,0.0,117440.623664683,14.0,1.0,2.2415085127467154,2.2415085127467154,0,0,57753.42753748803,7,0,4.761585283480081,43764.0,2.9580202784384424,0.597478014931357,10142.0,12.764227910232696,1.138751855124202
51,22117,washington,LA,SERC,34403267.0,839509.0,79241.9089282524,0.0,79241.9089282524,0.0,0.0,71887.78819582,99.5,1.0,6.097649579157169,6.097649579157169,0,0,12995.484227088922,7,0,4.113825884054524,45463.0,1.7429977988309702,0.4382254590970752,10416.0,7.607710150561866,0.9348876344688133
52,22121,west baton rouge,LA,SERC,53777000.0,413164.0,40119.4294850019,0.0,40119.4294850019,0.0,0.0,36396.1076703274,7.6,1.0,11.788629950990938,11.788629950990938,0,0,3403.230880245716,7,0,3.5320190069402777,27199.0,1.475033254347656,0.39358103845450226,12321.0,3.2561828978980523,0.6290202823135833
53,22125,west feliciana,LA,SERC,27738736.0,562326.0,65527.8496460214,0.0,65527.8496460214,0.0,0.0,59446.4752299931,12.5,1.0,0.9806017565832936,1.0,0,1,65527.8496460214,7,0,4.816432544016412,15310.0,4.28006855950499,0.7226395617045301,5693.0,11.510249366945617,1.09726596657664
54,23001,androscoggin,ME,NPCC,16100000.0,0.0,34458.1924559774,0.0,0.0,0.0,34458.1924559774,31260.2671287104,5.0,1.0,2.547265938331566,11.73469387755102,1,0,2936.437270161552,4,0,3.467968600892191,111139.0,0.31004591058024095,0.11728651577964157,49651.0,0.6940080251349902,0.22891546341120952
55,23025,somerset,ME,NPCC,65655277.0,1550670.0,183988.55366552318,0.0,183988.55366552318,0.0,0.0,166913.3209339774,107.1,1.0,1.6415706534459928,2.0637834119118104,0,0,89151.09628441252,7,1,4.950131559446868,50477.0,3.644997794352342,0.6669855121077372,15905.0,11.56796942254154,1.0992651154089352
56,23027,waldo,ME,NPCC,32000.0,0.0,11.1290099448,11.1290099448,0.0,0.0,0.0,10.096171591,3.2,1.0,1.0270951530264252,1.0270951530264252,0,0,10.835422513685714,7,0,1.0731837664549526,39607.0,0.0002809859354356553,0.00012201350001604003,11567.0,0.0009621345158468056,0.00041764882610811216
57,24009,calvert,MD,RFC,680636320.0,0.0,353959.09202981205,0.0,353959.09202981205,0.0,0.0,321109.581810589,228.6,1.0,23.81574642754373,23.81574642754373,0,0,14862.397578286533,4,0,4.172118094811041,92783.0,3.81491320640432,0.6825884629414667,22668.0,15.614923770505207,1.2204983530703488
58,25011,franklin,MA,NPCC,41857460.0,244403.0,31068.5653189197,0.0,31068.5653189197,0.0,0.0,28185.2175622968,6.199999999999999,1.0,4.310977115128477,4.310977115128477,0,0,7206.849976050914,7,0,3.8578057386742115,71029.0,0.4374067679246463,0.15757968536935027,26837.0,1.157676540556683,0.333986339707261
59,26003,alger,MI,MRO,564000.0,478722.0,83517.62364877801,0.0,0.0,83517.62364877801,0.0,75766.6911446775,6.2,1.0,0.007792021259135002,1.0,0,1,83517.62364877801,7,0,4.921783328729713,8842.0,9.445557978825832,1.0189316439958553,2497.0,33.447186082810575,1.537153751102262
60,26043,dickinson,MI,RFC,16203318.0,262393.0,36452.098745485506,0.0,36452.098745485506,0.0,0.0,33069.127048431,56.0,1.0,4.368048742053705,4.368048742053705,0,0,8345.167578955861,7,0,3.9214871004673704,25947.0,1.4048675664040353,0.38109116521564346,13699.0,2.6609313632736336,0.5635915866168638
61,26073,isabella,MI,RFC,29400204.0,259986.0,26406.2476966464,0.0,26406.2476966464,0.0,0.0,23955.590761722204,4.8,1.0,4.007292661376121,4.007292661376121,0,0,6589.54808845391,5,0,3.8189215332424404,64394.0,0.410073107690878,0.1492416299912983,28562.0,0.9245237622241579,0.2843232777268527
62,26121,muskegon,MI,RFC,8085000.0,24414.0,4959.4198855509,0.0,4959.4198855509,0.0,0.0,4499.1562057071,3.2,1.0,37.0451627736496,37.0451627736496,0,0,133.87496542675632,7,0,2.1299313463658818,175824.0,0.028206728805799552,0.012080441656736302,62220.0,0.07970780915382353,0.03330624248598402
63,26151,sanilac,MI,RFC,21000.0,184346.0,35961.3370065576,0.0,35961.3370065576,0.0,0.0,32623.9109194934,1.3,1.0,0.7338493748330515,1.0,0,1,35961.3370065576,7,0,4.555847906533752,40611.0,0.8855073011390412,0.2754282184378777,10491.0,3.4278273764710323,0.646190681107444
64,27071,koochiching,MN,MRO,68152123.0,1542833.0,125130.392647933,0.0,125130.392647933,0.0,0.0,113517.547535093,52.3,1.0,0.19927264402726172,1.4035766004350438,0,1,89151.09628441252,7,1,4.950131559446868,12062.0,10.373934061344139,1.0559107061671253,4525.0,27.653125447057015,1.457172001185707
65,27075,lake,MN,MRO,182439000.0,271534.0,273951.4457569615,0.0,0.0,273951.4457569615,0.0,248527.1212528,131.6,1.0,46.33033644341116,46.33033644341116,0,0,5913.0035908884765,7,0,3.7718815838868482,10905.0,25.121636474732828,1.417000381243287,4206.0,65.13348686565894,1.8204214213368706
66,27149,stevens,MN,MRO,23000.0,0.0,17.4999649132,17.4999649132,0.0,0.0,0.0,15.8758640236,1.0,1.0,0.008580486531589953,1.0,0,1,17.4999649132,4,0,1.2671709047263608,9671.0,0.0018095300292834246,0.0007851587364503422,5517.0,0.003172007415841943,0.0013754050711231281
67,28077,lawrence,MS,SERC,183296015.0,869454.0,116950.394740522,0.0,116950.394740522,0.0,0.0,106096.702114235,81.5,1.0,0.057773180307398066,2.4377698693344123,1,1,47974.33761557366,7,0,4.681018039667326,12016.0,9.732889042986185,1.0307166396308514,2389.0,48.95370227732189,1.6985676811311023
68,28111,perry,MS,SERC,7511194.0,181377.0,17388.0091397661,0.0,17388.0091397661,0.0,0.0,15774.2984121982,50.4,1.0,5.670566556021596,5.670566556021596,0,0,3066.3618825356543,7,0,3.4867650163858146,11511.0,1.5105559151912173,0.39976989844032984,2213.0,7.85721154078902,0.947297017253192
69,31141,platte,NE,MRO,292861000.0,1869754.0,1122971.33972786,0.0,0.0,1122971.33972786,0.0,1018752.91638198,71.4,1.0,675.5580949909645,675.5580949909645,0,0,1662.2868529802452,7,0,3.220967154765705,34296.0,32.74350768975565,1.5281902261820932,19211.0,58.454600995672266,1.7741854688741918
70,31157,scotts bluff,NE,MRO,27820000.0,0.0,218910.957676884,0.0,0.0,218910.957676884,0.0,198594.718023119,5.0,1.0,0.006593131383510037,2.4555049438596654,0,1,89151.09628441252,6,1,4.950131559446868,36084.0,6.066704292120718,0.84921691854167,16287.0,13.440839791053232,1.1595924498828807
71,33011,hillsborough,NH,NPCC,33000.0,151.0,26.612849868,26.612849868,0.0,0.0,0.0,24.143019022,2.0999999999999996,1.0,297.68985686918717,297.68985686918717,0,0,0.0893979060888675,5,0,0.03718653618869726,422937.0,6.29239103412565e-05,2.7326647300287287e-05,205982.0,0.00012919988090221476,5.610717089657891e-05
72,33017,strafford,NH,NPCC,11623627.0,83500.0,8915.1634116842,0.0,8915.1634116842,0.0,0.0,8087.7831912222,7.9,1.0,33.18373564801079,33.18373564801079,0,0,268.6606326138155,5,0,2.4308175490242196,130889.0,0.06811239608893184,0.028616955345024456,48710.0,0.1830253215291357,0.07299404038675203
73,34031,passaic,NJ,RFC,1895000.0,3161.0,1877.0763988779,0.0,1877.0763988779,0.0,0.0,1702.8725382182,11.8,1.0,20.28682382285832,20.28682382285832,0,0,92.52687435294287,5,0,1.970936420564264,524118.0,0.0035814003695310978,0.0015526038265796978,165696.0,0.01132843519987145,0.004892218332085362
74,35017,grant,NM,WECC,4383000.0,0.0,3257.4327646311,0.0,3257.4327646311,0.0,0.0,2955.1236184624,54.0,1.0,0.12629041685731585,1.0,0,1,3257.4327646311,6,0,3.513008764076145,28185.0,0.11557327531066525,0.04749810175381066,9161.0,0.35557611228371355,0.13212390717421127
75,36027,dutchess,NY,NPCC,42299000.0,97.0,63368.745844732905,0.0,0.0,0.0,63368.745844732905,57487.749110707504,9.2,1.0,8.654205416426937,30.830174927113703,1,0,2055.4131137609293,5,0,3.313110364702801,295911.0,0.21414798991836365,0.08427162519708324,113674.0,0.5574603325715018,0.19241699429448783
76,36077,otsego,NY,NPCC,38000.0,0.0,31.451549844,31.451549844,0.0,0.0,0.0,28.5326588442,5.6000000000000005,1.0,0.017487129294241028,1.0,0,1,31.451549844,4,0,1.5112354429737942,58524.0,0.0005374128535985237,0.0002333327444279448,23740.0,0.0013248336075821399,0.0005749871281223107
77,36113,warren,NY,NPCC,39172683.0,1134939.0,108022.538052818,0.0,108022.538052818,0.0,0.0,97997.4036585489,29.0,1.0,42.69064038484367,42.69064038484367,0,0,2530.3564687488015,7,0,3.403353307350916,65737.0,1.643253237184812,0.4221387727584634,37937.0,2.8474190909354453,0.5851694956302896
78,36117,wayne,NY,NPCC,362000.0,626.0,362.8144677234,0.0,362.8144677234,0.0,0.0,329.1431259398,1.7000000000000002,1.0,4.107310292464689,4.107310292464689,0,0,88.33383452645955,7,0,1.9510159758553782,91283.0,0.003974611567579944,0.0017227305425503226,28936.0,0.012538514919940558,0.0054115518857876
79,37017,bladen,NC,SERC,87000.0,0.0,112.7417094408,112.7417094408,0.0,0.0,0.0,102.278607857,28.5,1.0,0.06430928573981937,1.0,0,1,112.7417094408,6,0,2.0559197510405354,29606.0,0.0038080696291562517,0.0016506826603704641,13227.0,0.008523603949557722,0.003686067095222321
80,37047,columbus,NC,SERC,34007554.0,732238.0,82168.5850014117,0.0,82168.5850014117,0.0,0.0,74542.8513121761,51.5,1.0,2.11935506069762,2.11935506069762,0,0,38770.56116041481,7,0,4.5885132884898825,50623.0,1.6231472848588921,0.41882267610529567,15292.0,5.373305323137045,0.804364724533115
81,37061,duplin,NC,SERC,0.0,0.0,7.4193399632,7.4193399632,0.0,0.0,0.0,6.7307810607,2.4,1.0,0.6191055083286523,1.0,0,1,7.4193399632,6,0,0.9252780461818559,48715.0,0.00015230093324848607,6.613841855492589e-05,18891.0,0.0003927446912921497,0.00017053336637941466
82,37067,forsyth,NC,SERC,8375236.0,249836.0,29173.1288116125,0.0,29173.1288116125,0.0,0.0,26465.688842976,8.4,1.0,98.99548731434972,98.99548731434972,0,0,294.6915016335675,7,0,2.4708388427990826,382590.0,0.0762516762372579,0.031913840865915144,191005.0,0.15273489600592915,0.061729440477865695
83,37087,haywood,NC,SERC,155874981.0,5629580.0,878797.5504422189,0.0,0.0,878797.5504422189,0.0,797239.9078673853,52.5,1.0,0.8276276005135822,9.857394772114214,1,1,89151.09628441252,7,1,4.950131559446868,62089.0,14.153836435475187,1.1805225953356135,17812.0,49.33738774097344,1.7018906740824828
84,37107,lenoir,NC,SERC,1285760.0,2201.0,1122.0138794348,1122.0138794348,0.0,0.0,0.0,1017.8843141022,9.2,1.0,0.5709153721145224,1.0,0,1,1122.0138794348,7,0,3.0503851237812234,55122.0,0.020355101038329524,0.008751339980570528,28630.0,0.039190145980957034,0.016695019929496967
85,37117,martin,NC,SERC,27450696.0,1084430.0,91986.91560658159,0.0,91986.91560658159,0.0,0.0,83449.98240640621,121.5,1.0,1.0318091357297745,1.0318091357297745,0,0,89151.09628441252,7,1,4.950131559446868,22031.0,4.1753400030221774,0.7139388868025432,6417.0,14.334878542400123,1.185680340567979
